what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887607834
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887608893
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342887612481
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1342887613506
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887613545
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1342887613570
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887642344
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887677871
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887680140
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887683259
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1342887683268
activated,view,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.CView",1342887684113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887684814
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342887686650
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1342887688425
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887688464
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1342887688481
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887762449
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887859493
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887861237
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887863602
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1342887863611
activated,view,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.CView",1342887865276
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887865980
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342887868810
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1342887871262
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887871681
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1342887871697
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887880443
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887923440
activated,view,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.CView",1342887925098
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887925879
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342887927056
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1342887928843
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887928884
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1342887928902
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342887951335
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342889605320
activated,view,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.CView",1342889607394
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342889608112
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342889610089
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1342889614771
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342889614818
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1342889614836
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1342889633899
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342889719505
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342889794369
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342889797233
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342889798430
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.navigate.opentype",1342889798443
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342889798996
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342889817564
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.navigate.openResource",1342889817575
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342889827648
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342889834907
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.navigate.openResource",1342889834918
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342889840373
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1342889847377
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1342889856383
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1342889898068
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342889907209
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1342889915867
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1342889960919
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342889961976
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342890562781
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342890873579
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1342896137616
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342896149697
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1342896157924
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1342896220356
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1342896232744
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342896846727
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342897158577
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342900916997
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342900941307
executed,command,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui.targetBuildLastCommand",1342900954066
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342900956578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1342901030025
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1342901035540
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1342901035710
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1342901037243
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342901037524
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1342901037727
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1342901040423
activated,view,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.callHierarchy",1342901040971
