what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346238450222
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346238460855
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1346238464520
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1346238469218
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1346238490065
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346238496769
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346238498869
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1346238498938
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346238513696
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346238524028
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1346238527921
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1346238527921
activated,view,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.CView",1346238532644
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.showIn",1346238532734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346238555859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346238559028
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1346238559038
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1346238573170
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1346238573492
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1346238579689
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346238582936
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1346238585965
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346238586057
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1346238586079
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346238592453
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346238593916
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1346238593930
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1346238595067
activated,view,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.CView",1346238600443
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1346238600638
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1346238603759
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1346238605653
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1346238616628
