what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1353851703397
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1353851713649
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1353851725783
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1353851756281
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1353851762636
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1353851762724
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1353851762724
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353851769118
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353851772986
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353851775955
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353851777786
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353851777843
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353851777909
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1353851777995
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1353851778090
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.navigate.openResource",1353851778092
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353851779557
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353851779685
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1353851789110
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1353851793504
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1353851800546
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1353851832195
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1353851862937
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1353851864965
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1353851864966
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353851868661
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353851870091
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1353851870272
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1353851880512
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1353851883187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353851936165
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353851985294
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1353851989908
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1353851994329
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1353851998976
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353852065763
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353852186237
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353852195411
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1353852202107
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1353852209294
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1353852210941
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353852218078
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1353852225042
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353852230806
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353852240497
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1353852241964
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1353852260943
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1353852262542
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1353852264037
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353852271327
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1353852271359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353852271832
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353852274876
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1353852275643
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1353852275774
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1353852278568
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353852279673
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1353852287301
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1353852290435
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1353852291273
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1353852292150
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.redo",1353852293570
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1353852296246
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353852302545
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353852425695
executed,command,org.eclipse.cdt.make.ui,7.0.0.201102110609,"org.eclipse.cdt.make.ui.targetBuildLastCommand",1353852457861
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353852471563
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353878564213
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353878586598
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353878693640
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1353878718655
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353878738076
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353878784568
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353879055994
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353879059367
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353879064810
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353879081222
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353879119080
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353879210478
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1353879214306
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353879304700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353879344118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353879346069
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353879348605
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1353879348763
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353879375424
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1353879548211
